Id,Model,Price,Age_08_04,Color,,,,,,,,,,,,,
1,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13500,23,Blue,,,,,,,,,,,,,
2,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13750,23,Silver,,,,,,,,,,,,,
3, TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13950,24,Blue,,,,,,,,,,,,,
4,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,14950,26,Black,,,,,,,,,,,,,
5,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,13750,30,Black,,,,,,,,,,,,,
6,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,12950,32,White,,,,,,,,,,,,,
7, TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,16900,27,Grey,,,,,,,,,,,,,
8,TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,18600,30,Grey,,,,,,,,,,,,,
9, TOYOTA Corolla 1800 T SPORT VVT I 2/3-Doors,21500,27,Red,,,,,,,,,,,,,
10, TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,12950,23,Blue,,,,,,,,,,,,,
11,TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 2/3-Doors,20950,25,Silver,,,,,,,,,,,,,
12,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT BNS 2/3-Doors,19950,22,Red,,,,,,,,,,,,,
13,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,19600,25,Red,,,,,,,,,,,,,
14,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,21500,31,Black,,,,,,,,,,,,,
15,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22500,32,Grey,,,,,,,,,,,,,
16,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22000,28,Grey,,,,,,,,,,,,,
17, TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22750,30,Grey,,,,,,,,,,,,,
18, TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 2/3-Doors,17950,24,Blue,,,,,,,,,,,,,
19,TOYOTA Corolla 1.6 16v L.SOL 2/3-Doors,16750,24,Grey,,,,,,,,,,,,,
20,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,16950,30,Grey,,,,,,,,,,,,,
21, TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,15950,30,Blue,,,,,,,,,,,,,
22,TOYOTA Corolla 1.6 16V VVT I 3DR SOL AUT4 2/3-Doors,16950,29,Grey,,,,,,,,,,,,,
23,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,28,Black,,,,,,,,,,,,,
24, TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,28,Black,,,,,,,,,,,,,
25,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16250,29,Grey,,,,,,,,,,,,,
26,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,25,Blue,,,,,,,,,,,,,
27, TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17495,27,Blue,,,,,,,,,,,,,
28,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15750,29,Black,,,,,,,,,,,,,
29,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,28,Grey,,,,,,,,,,,,,
